original_title,popularity,runtime,averageRating,release_year,release_month,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,num_user_for_reviews,movie_facebook_likes,Genre_first_values,budget_adjusted
Vampires Suck,8.129407,82.0,3.4,2010.0,8.0,122.0,82.0,759.0,401.0,354.0,187.0,16000,Horror,28462964.64236707
Shark Night,6.062425,91.0,4.1,2011.0,9.0,231.0,160.0,963.0,936.0,852.0,130.0,0,Horror,38628820.36880661
Death Sentence,6.612175,105.0,6.7,2007.0,8.0,166.0,0.0,856.0,742.0,725.0,299.0,0,Action,29933733.673553865
The Sorcerer's Apprentice,12.533525,109.0,6.1,2010.0,7.0,235.0,226.0,12000.0,418.0,370.0,238.0,11000,Fantasy,213472228.31775308
Paranormal Activity,12.706424,86.0,6.3,2007.0,9.0,409.0,110.0,189.0,109.0,21.0,1189.0,12000,Horror,22451.299505165363
The 40 Year Old Virgin,11.519662,116.0,7.1,2005.0,8.0,217.0,0.0,7000.0,966.0,218.0,546.0,0,Comedy,41313242.16743477
Walk the Line,11.476443,136.0,7.8,2005.0,9.0,291.0,446.0,523.0,405.0,154.0,815.0,11000,Drama,44491183.79569892
The Sessions,5.760319,98.0,7.2,2012.0,5.0,337.0,20.0,422.0,374.0,365.0,126.0,11000,Drama,1351630.3979807845
Khiladi 786,0.704637,139.0,4.4,2012.0,12.0,23.0,2.0,634.0,284.0,61.0,31.0,365,Action,21626071.367692504
The Color of Money,11.613655,119.0,7.0,1986.0,10.0,59.0,17000.0,10000.0,970.0,638.0,115.0,0,Drama,39800175.72118959
Clockstoppers,4.920175,94.0,5.2,2002.0,3.0,69.0,906.0,2000.0,587.0,528.0,94.0,874,Adventure,46855262.324041784
Gravity,18.50194,91.0,7.7,2013.0,9.0,738.0,0.0,39.0,23.0,13.0,1885.0,147000,Science Fiction,139872295.02851155
The Transporter,13.217421,92.0,6.8,2002.0,10.0,171.0,255.0,26000.0,1000.0,447.0,460.0,0,Action,37844635.14634145
The Charge of the Light Brigade,5.39865,115.0,7.0,2036.0,10.0,24.0,345.0,843.0,490.0,94.0,52.0,204,Action,1200001.0000000005
[REC],8.504511,78.0,7.4,2007.0,4.0,252.0,57.0,120.0,9.0,7.0,374.0,15000,Horror,2245030.9505165387
Jarhead,9.997032,125.0,7.0,2005.0,11.0,262.0,0.0,15000.0,383.0,210.0,657.0,0,Drama,114405899.61751142
The Chronicles of Narnia: Prince Caspian,12.490891,150.0,6.5,2008.0,5.0,258.0,80.0,22000.0,216.0,201.0,438.0,0,Adventure,218647217.2589051
Made,3.531682,94.0,6.3,2001.0,7.0,81.0,4000.0,4000.0,585.0,334.0,165.0,393,Action,9010628.177700365
A Man Apart,17.714247,109.0,6.0,2003.0,4.0,110.0,473.0,14000.0,919.0,582.0,135.0,0,Action,57202950.30875566
Killing Zoe,4.948569,96.0,6.4,1993.0,10.0,37.0,675.0,902.0,424.0,164.0,93.0,853,Action,3054390.763779535
Take Shelter,5.59686,120.0,7.3,2011.0,11.0,359.0,337.0,982.0,463.0,41.0,219.0,14000,Thriller,6898004.458715478
The Soloist,11.328316,109.0,6.7,2009.0,4.0,210.0,456.0,21000.0,939.0,569.0,143.0,0,Drama,86789505.84065701
Pokémon 3: The Movie,10.264597,93.0,5.8,2000.0,7.0,39.0,8.0,88.0,82.0,49.0,55.0,38,Adventure,28834007.968641106
Ca$h,9.107829,108.0,5.9,2010.0,1.0,27.0,0.0,26000.0,854.0,410.0,38.0,694,Crime,9962038.274828497
Can't Hardly Wait,6.426937,100.0,6.5,1998.0,6.0,76.0,4.0,982.0,945.0,678.0,247.0,0,Comedy,18021255.355400726
John Carter,14.670353,132.0,6.6,2012.0,3.0,462.0,475.0,640.0,632.0,530.0,738.0,24000,Action,205037596.06864718
Mary Poppins,15.11549,139.0,7.8,2064.0,8.0,145.0,55.0,382.0,279.0,266.0,259.0,0,Comedy,6000001.0
Crazy/Beautiful,6.236729,99.0,6.4,2001.0,6.0,84.0,134.0,4000.0,1000.0,525.0,169.0,0,Drama,23427631.662020937
The Bounty,7.492912,132.0,7.0,1984.0,5.0,29.0,79.0,14000.0,12000.0,1000.0,95.0,1000,Action,72101766.7992564
Death at a Funeral,8.832907,90.0,7.3,2007.0,2.0,168.0,0.0,22000.0,557.0,548.0,199.0,0,Comedy,13470180.703099223
Death at a Funeral,8.832907,90.0,7.3,2007.0,2.0,168.0,0.0,22000.0,557.0,548.0,199.0,0,Comedy,13470180.703099223
Death at a Funeral,8.832907,90.0,7.3,2007.0,2.0,168.0,0.0,22000.0,557.0,548.0,199.0,0,Comedy,13470180.703099223
Death at a Funeral,8.832907,90.0,7.3,2007.0,2.0,168.0,0.0,22000.0,557.0,548.0,199.0,0,Comedy,13470180.703099223
Topaz,5.757907,143.0,6.2,2069.0,12.0,50.0,13000.0,204.0,187.0,148.0,89.0,414,Action,4000001.0000000005
Gremlins 2: The New Batch,14.383185,106.0,6.4,1990.0,6.0,105.0,287.0,16000.0,823.0,767.0,148.0,0,Comedy,118716909.95179783
Battle for the Planet of the Apes,11.644764,93.0,5.4,2073.0,6.0,62.0,88.0,595.0,356.0,196.0,91.0,511,Action,1700000.9999999958
A Passage to India,11.842837,163.0,7.3,1984.0,12.0,52.0,767.0,358.0,223.0,162.0,89.0,845,Drama,23072566.055762075
Deep Rising,6.922458,106.0,6.1,1998.0,1.0,106.0,208.0,3000.0,1000.0,855.0,273.0,0,Adventure,81095645.59930305
Vantage Point,7.001645,90.0,6.6,2008.0,2.0,235.0,38.0,2000.0,897.0,882.0,422.0,0,Drama,57653819.107504226
The Wiz,4.233081,134.0,5.6,1978.0,10.0,32.0,0.0,738.0,295.0,227.0,150.0,0,Adventure,90386214.59223312
Dracula 2000,6.000716,99.0,4.9,2000.0,12.0,122.0,71.0,18000.0,1000.0,1000.0,365.0,0,Thriller,50459513.195121944
Warm Bodies,10.430238,97.0,6.8,2013.0,1.0,452.0,129.0,303.0,18.0,7.0,326.0,81000,Horror,46624099.00950391
Heaven's Gate,4.393576,174.11587433319053,6.7,1980.0,11.0,102.0,517.0,12000.0,849.0,678.0,189.0,1000,Action,165708059.25242746
Mr. Smith Goes to Washington,8.168694,129.0,8.1,2039.0,10.0,96.0,964.0,607.0,319.0,248.0,245.0,0,Comedy,1500000.9999999986
RockNRolla,7.263988,114.0,7.2,2008.0,9.0,209.0,0.0,27000.0,18000.0,1000.0,192.0,12000,Action,25944219.148376953
Kiss of the Dragon,7.637345,98.0,6.6,2001.0,7.0,116.0,20.0,5000.0,888.0,872.0,254.0,0,Action,45053136.88850172
Gone Girl,44.77527430342312,145.0,8.1,2014.0,10.0,568.0,21000.0,835.0,812.0,625.0,1127.0,146000,Mystery,79962009.31305723
A Man for All Seasons,6.997888,120.0,7.7,2066.0,12.0,62.0,160.0,559.0,269.0,94.0,167.0,2000,Drama,3900001.000000008
Identity,17.955897,90.0,7.3,2003.0,4.0,136.0,446.0,1000.0,872.0,660.0,714.0,11000,Mystery,47669125.42396312
The Elephant Man,8.405672,124.0,8.2,1980.0,10.0,117.0,0.0,12000.0,754.0,452.0,356.0,9000,Drama,18830462.165048555
Friday the 13th: A New Beginning,9.094477,92.0,4.8,1985.0,3.0,160.0,13.0,42.0,27.0,17.0,342.0,1000,Horror,6344956.390334568
Idiocracy,12.130803,84.0,6.5,2006.0,9.0,121.0,406.0,586.0,497.0,233.0,434.0,79000,Adventure,46179465.285714254
San Andreas,20.547925,114.0,6.1,2015.0,5.0,358.0,62.0,12000.0,2000.0,884.0,499.0,52000,Action,144022834.80516985
Blade: Trinity,18.860681,123.0,5.8,2004.0,12.0,185.0,687.0,16000.0,1000.0,957.0,514.0,0,Science Fiction,103283103.91858633
Eden Lake,12.515435,91.0,6.7,2008.0,9.0,161.0,43.0,13000.0,698.0,418.0,357.0,0,Horror,23061528.24300176
Transformers: Revenge of the Fallen,4.351756,150.0,6.0,2009.0,6.0,366.0,0.0,894.0,581.0,464.0,1439.0,0,Science Fiction,216973763.10164183
The Green Hornet,7.888013,119.0,5.8,2011.0,1.0,447.0,1000.0,11000.0,1000.0,741.0,443.0,14000,Action,165552084.00917143
But I'm a Cheerleader,4.928139,85.0,6.8,1999.0,9.0,99.0,91.0,1000.0,1000.0,849.0,186.0,0,Comedy,2162551.5226480807
Ghost Ship,13.955376,91.0,5.6,2002.0,10.0,156.0,17.0,534.0,385.0,78.0,474.0,0,Horror,63074391.24390255
The Vow,9.524298,104.0,6.8,2012.0,2.0,214.0,23.0,17000.0,359.0,281.0,164.0,32000,Drama,40548882.93942356
Action Jackson,14.054862,96.0,5.6,1988.0,2.0,35.0,22.0,1000.0,841.0,794.0,65.0,978,Action,16620368.253251713
Lone Survivor,10.855502,121.0,7.5,2013.0,12.0,319.0,532.0,480.0,449.0,127.0,420.0,58000,Action,53284684.439433075
Zookeeper,11.341084,102.0,5.2,2011.0,7.0,178.0,153.0,3000.0,1000.0,269.0,127.0,0,Comedy,110368056.33944768
Anonymous,13.413895,130.0,6.8,2011.0,10.0,288.0,776.0,898.0,584.0,358.0,136.0,15000,Drama,41388021.75229282
Pulse,10.307277,90.0,4.7,2006.0,8.0,148.0,2.0,16000.0,1000.0,807.0,258.0,0,Horror,58493989.09523805
Turbulence,5.304043,100.0,5.0,1997.0,1.0,44.0,0.0,995.0,879.0,745.0,84.0,316,Action,111994292.33858272
Love & Other Drugs,7.575696,112.0,6.7,2010.0,11.0,219.0,380.0,15000.0,11000.0,2000.0,215.0,24000,Drama,42694446.46355067
Memoirs of a Geisha,7.680762,145.0,7.3,2005.0,12.0,229.0,252.0,879.0,691.0,210.0,548.0,0,Drama,135062520.20122844
Hannah Montana: The Movie,6.332878,102.0,4.7,2009.0,4.0,131.0,23.0,1000.0,1000.0,635.0,140.0,0,Comedy,50627212.15704991
The Canyons,4.281631,99.0,3.8,2013.0,7.0,162.0,261.0,924.0,835.0,461.0,87.0,0,Thriller,333030.27149645647
The Trouble with Harry,6.486117,99.0,7.0,2055.0,10.0,73.0,13000.0,282.0,255.0,232.0,150.0,0,Comedy,1200001.0000000005
3 Strikes,0.651625,82.0,4.7,2000.0,3.0,22.0,69.0,939.0,706.0,585.0,10.0,118,Action,10812753.613240417
The Women,6.62363,114.0,5.0,2008.0,9.0,124.0,15.0,851.0,680.0,650.0,125.0,0,Comedy,23061528.24300176
Thumbsucker,5.884228,96.0,6.5,2005.0,1.0,114.0,101.0,730.0,394.0,71.0,91.0,708,Comedy,25423534.02611369
Stolen,7.759429,96.0,5.5,2012.0,5.0,98.0,165.0,12000.0,774.0,566.0,86.0,0,Action,47307029.92932746
Marvin's Room,5.307984,98.0,6.7,1996.0,12.0,45.0,4.0,29000.0,22000.0,11000.0,71.0,1000,Drama,46833977.37795277
Never Back Down,14.753931,115.0,6.5,2008.0,3.0,140.0,65.0,3000.0,427.0,149.0,184.0,0,Drama,28826910.053752203
The Princess Diaries,7.387171,115.0,6.4,2001.0,8.0,108.0,0.0,11000.0,995.0,529.0,301.0,0,Comedy,66678642.11498245
Running with Scissors,4.926507,116.0,6.1,2006.0,10.0,132.0,708.0,433.0,398.0,316.0,188.0,0,Drama,18471786.714285713
Some Like It Hot,11.845107,122.0,8.2,2059.0,3.0,181.0,0.0,105.0,103.0,102.0,350.0,10000,Comedy,2883849.0000000023
Dante's Peak,7.240753,108.0,6.1,1997.0,2.0,93.0,79.0,650.0,293.0,268.0,277.0,0,Action,236206142.73228332
Bringing Down the House,5.762343,105.0,5.6,2003.0,3.0,121.0,163.0,1000.0,409.0,338.0,236.0,800,Comedy,31779417.28264206
The Beaver,5.484379,91.0,6.6,2011.0,2.0,276.0,0.0,34000.0,242.0,220.0,148.0,17000,Drama,28971615.526605006
All the King's Men,7.991168,125.0,6.1,2006.0,9.0,127.0,234.0,14000.0,12000.0,581.0,178.0,0,Drama,84662352.19047609
Paranormal Activity 3,10.996308,83.0,5.8,2011.0,10.0,251.0,24.0,581.0,438.0,434.0,314.0,24000,Horror,6898004.458715478
Sleepers,9.198283,147.0,7.5,1996.0,10.0,73.0,272.0,22000.0,11000.0,893.0,259.0,0,Crime,89595434.07086615
Frequency,10.163266,118.0,7.4,2000.0,4.0,168.0,40.0,2000.0,702.0,617.0,510.0,0,Crime,55865889.50174221
Wreck-It Ralph,13.697597,108.0,7.7,2012.0,11.0,377.0,66.0,975.0,931.0,833.0,345.0,40000,Family,205037596.06864718
Tomorrowland,22.296076,130.0,6.4,2015.0,5.0,443.0,663.0,2000.0,638.0,604.0,497.0,37000,Adventure,198616140.77980995
친절한 금자씨,7.400261,115.0,7.5,2005.0,7.0,202.0,0.0,717.0,126.0,38.0,131.0,4000,Drama,25423534.02611369
Surf's Up,11.526339,85.0,6.7,2007.0,6.0,154.0,9.0,12000.0,11000.0,970.0,112.0,0,Animation,127218364.86260422
The Fan,12.202063,116.0,5.9,1996.0,8.0,50.0,12000.0,22000.0,617.0,552.0,89.0,0,Drama,111994292.33858272
Miss Congeniality,9.510762,111.0,6.3,2000.0,12.0,140.0,80.0,545.0,337.0,213.0,370.0,0,Comedy,81095645.59930305
The Sisterhood of the Traveling Pants 2,4.631978,117.0,6.2,2008.0,8.0,73.0,43.0,953.0,713.0,523.0,33.0,894,Adventure,38916328.22256544
Woman Thou Art Loosed,0.129004,94.0,6.6,2004.0,9.0,17.0,78.0,912.0,637.0,469.0,23.0,187,Drama,4766913.442396312
The Prince of Egypt,11.898185,99.0,7.2,1998.0,12.0,120.0,59.0,770.0,263.0,145.0,353.0,0,Adventure,126148781.48780474
Corky Romano,4.890067,86.0,4.7,2001.0,10.0,62.0,5.0,584.0,580.0,532.0,100.0,365,Action,19823380.79094075
The Call,8.611077,94.0,6.7,2013.0,3.0,285.0,122.0,873.0,461.0,383.0,266.0,23000,Crime,17317523.117815744
10 Cloverfield Lane,14.421528,103.0,7.2,2016.0,3.0,411.0,16.0,14000.0,338.0,82.0,440.0,33000,Thriller,19394810.318061564
Sweet November,14.840318,119.0,6.7,2001.0,2.0,94.0,7.0,18000.0,9000.0,903.0,274.0,8000,Drama,72085018.42160277
Polisse,8.98296,127.0,7.3,2011.0,10.0,163.0,236.0,580.0,236.0,68.0,33.0,0,Drama,22073612.067889534
I Don't Know How She Does It,6.562982,89.0,5.0,2011.0,9.0,169.0,41.0,2000.0,1000.0,847.0,68.0,0,Romance,33110417.601834286
Superman Returns,13.284712,154.0,6.1,2006.0,6.0,434.0,0.0,18000.0,10000.0,903.0,2367.0,0,Adventure,233508937.5188047
Shaft,7.420019,99.0,6.0,2000.0,6.0,160.0,309.0,23000.0,1000.0,577.0,301.0,0,Action,82897771.03484325
Parental Guidance,11.746053,104.0,6.0,2012.0,12.0,139.0,99.0,3000.0,448.0,433.0,107.0,0,Comedy,33790735.949519604
Priest,8.259952,87.0,5.7,2011.0,5.0,225.0,124.0,865.0,441.0,77.0,233.0,20000,Action,82776042.50458613
Moon,13.336773,97.0,7.8,2009.0,6.0,415.0,0.0,18000.0,572.0,372.0,485.0,47000,Science Fiction,7232459.736721411
The Ugly Truth,8.450799,96.0,6.4,2009.0,7.0,174.0,126.0,18000.0,957.0,954.0,169.0,9000,Comedy,54966687.39908271
The Water Diviner,9.615664,112.0,7.0,2014.0,12.0,183.0,0.0,523.0,468.0,234.0,185.0,18000,War,29494184.394160546
Final Destination 2,12.638573,90.0,6.2,2003.0,1.0,175.0,160.0,748.0,439.0,392.0,472.0,0,Horror,41313242.16743477
And So It Goes,7.69684,94.0,5.9,2014.0,7.0,107.0,0.0,712.0,341.0,197.0,48.0,3000,Comedy,23595347.7153285
Rabbit Hole,7.007993,91.0,6.9,2010.0,12.0,248.0,263.0,967.0,289.0,192.0,144.0,0,Drama,7115741.910591782
State of Play,8.905732,127.0,7.1,2009.0,4.0,252.0,162.0,18000.0,748.0,379.0,235.0,0,Action,86789505.84065701
The Death and Life of Bobby Z,10.77166,97.0,5.8,2007.0,7.0,30.0,17.0,23000.0,10000.0,1000.0,31.0,0,Drama,32927106.940909248
Scarface,11.299673,170.0,8.3,1983.0,12.0,147.0,0.0,14000.0,670.0,638.0,851.0,19000,Action,72101766.7992564
Rent,9.530278,135.0,6.8,2005.0,11.0,146.0,0.0,3000.0,1000.0,715.0,754.0,3000,Drama,63558833.565284155
Mambo Italiano,2.873356,92.0,6.7,2003.0,6.0,67.0,9.0,636.0,210.0,71.0,67.0,352,Comedy,6930929.616221199
Trolljegeren,6.097684,103.0,6.9,2010.0,10.0,337.0,12.0,29.0,4.0,4.0,199.0,38000,Fantasy,4981019.637414245
The Aviator,9.86738,170.0,7.5,2004.0,12.0,267.0,17000.0,29000.0,3000.0,827.0,799.0,0,Drama,184320615.43932348
It's Kind of a Funny Story,8.172013,101.0,7.1,2010.0,7.0,163.0,16.0,943.0,769.0,472.0,150.0,20000,Comedy,11385186.456946844
Hard Candy,9.62025,103.0,7.0,2005.0,1.0,231.0,171.0,109.0,8.0,0.0,651.0,12000,Drama,1509523.273425499
Ночной дозор,8.803869,114.0,6.4,2004.0,6.0,232.0,335.0,114.0,28.0,16.0,310.0,0,Fantasy,6673678.419354833
Hansel & Gretel: Witch Hunters,10.337211,88.0,6.1,2013.0,1.0,349.0,75.0,10000.0,520.0,467.0,304.0,45000,Fantasy,66605855.29929125
Predator 2,11.736241,108.0,6.3,1990.0,11.0,119.0,81.0,2000.0,683.0,636.0,291.0,0,Science Fiction,83101837.26625864
"The Beast from 20,000 Fathoms",3.424057,80.0,6.6,2053.0,6.0,67.0,7.0,57.0,40.0,21.0,88.0,465,Adventure,210001.0
Butch Cassidy and the Sundance Kid,6.714577,110.0,8.0,2069.0,9.0,130.0,131.0,640.0,566.0,399.0,309.0,0,History,6000001.0
Annabelle,23.242452,99.0,5.5,2014.0,10.0,271.0,40.0,1000.0,421.0,300.0,291.0,45000,Horror,8520542.869424155
The Crying Game,7.404329,112.0,7.2,1992.0,9.0,63.0,277.0,1000.0,530.0,327.0,148.0,0,Romance,8798201.347268553
Raising Cain,8.816951,91.0,6.1,1992.0,8.0,33.0,0.0,636.0,330.0,298.0,80.0,541,Drama,28492059.148431566
Lars and the Real Girl,8.025118,106.0,7.3,2007.0,10.0,226.0,44.0,33000.0,730.0,552.0,299.0,19000,Comedy,17960240.60413232
Percy Jackson & the Olympians: The Lightning Thief,9.785895,118.0,5.9,2010.0,2.0,217.0,0.0,8000.0,3000.0,1000.0,419.0,9000,Adventure,135199078.3012439
Dylan Dog: Dead of Night,12.763976,107.0,5.1,2011.0,3.0,138.0,14.0,403.0,368.0,311.0,75.0,0,Action,27592014.834861893
Harold & Kumar Escape from Guantanamo Bay,13.065315,107.0,6.5,2008.0,4.0,153.0,22.0,1000.0,954.0,816.0,165.0,0,Comedy,17296146.432251293
Snakes on a Plane,7.418574,105.0,5.5,2006.0,8.0,285.0,160.0,852.0,521.0,491.0,1033.0,4000,Action,50797411.71428569
Snakes on a Plane,7.418574,105.0,5.5,2006.0,8.0,285.0,160.0,852.0,521.0,490.0,1033.0,4000,Action,50797411.71428569
Snakes on a Plane,7.418574,105.0,5.5,2006.0,8.0,285.0,160.0,852.0,521.0,491.0,1033.0,4000,Action,50797411.71428569
Snakes on a Plane,7.418574,105.0,5.5,2006.0,8.0,285.0,160.0,852.0,521.0,490.0,1033.0,4000,Action,50797411.71428569
The Book Thief,16.373622,131.0,7.5,2013.0,11.0,252.0,33.0,876.0,526.0,326.0,236.0,53000,Drama,21313874.375773184
Happiness,5.493697,139.0,7.7,1998.0,10.0,148.0,377.0,22000.0,11000.0,812.0,499.0,0,Comedy,5406377.306620208
No Strings Attached,8.88057,107.0,6.2,2011.0,1.0,245.0,425.0,20000.0,962.0,766.0,178.0,24000,Comedy,34490018.293577336
Bachelorette,10.893224,87.0,5.3,2012.0,8.0,156.0,21.0,4000.0,3000.0,416.0,129.0,0,Comedy,4054889.193942353
Shadow Conspiracy,3.733574,103.0,4.9,1997.0,1.0,24.0,170.0,849.0,623.0,269.0,41.0,68,Action,91631693.91338573
Battle: Los Angeles,6.753746,116.0,5.7,2011.0,3.0,355.0,473.0,833.0,697.0,464.0,800.0,25000,Action,96572049.42201675
Resident Evil: Retribution,0.948759,95.0,5.3,2012.0,9.0,239.0,545.0,14000.0,1000.0,974.0,423.0,32000,Action,87855911.86875072
Stake Land,7.814255,98.0,6.4,2010.0,9.0,215.0,53.0,530.0,238.0,65.0,141.0,0,Drama,925047.3183769302
Signs,11.211568,106.0,6.8,2002.0,8.0,208.0,0.0,710.0,529.0,242.0,2335.0,0,Drama,129753032.35888523
Glory,7.521346,122.0,7.8,1989.0,12.0,60.0,380.0,18000.0,11000.0,2000.0,365.0,0,War,42738088.22264725
Glory,7.521346,122.0,7.8,1989.0,12.0,60.0,380.0,18000.0,11000.0,2000.0,365.0,0,War,42738088.22264725
Glory,7.521346,122.0,7.8,1989.0,12.0,60.0,380.0,18000.0,11000.0,2000.0,365.0,0,War,42738088.22264725
Glory,7.521346,122.0,7.8,1989.0,12.0,60.0,380.0,18000.0,11000.0,2000.0,365.0,0,War,42738088.22264725
Act of Valor,12.159818,110.0,6.4,2012.0,2.0,216.0,16.0,93.0,17.0,11.0,349.0,15000,Action,16219553.775769394
Pride and Prejudice and Zombies,7.954623,108.0,5.8,2016.0,2.0,225.0,23.0,2000.0,860.0,845.0,134.0,73000,Romance,36203645.060381524
O,5.378833,95.0,6.1,2001.0,8.0,92.0,596.0,1000.0,835.0,697.0,153.0,0,Drama,28834007.968641106
O,5.378833,95.0,6.1,2001.0,8.0,92.0,596.0,1000.0,835.0,697.0,153.0,0,Drama,28834007.968641106
O,5.378833,95.0,6.1,2001.0,8.0,92.0,596.0,1000.0,835.0,697.0,153.0,0,Drama,28834007.968641106
O,5.378833,95.0,6.1,2001.0,8.0,92.0,596.0,1000.0,835.0,697.0,153.0,0,Drama,28834007.968641106
The Saint,10.97633,116.0,6.2,1997.0,4.0,64.0,176.0,192.0,117.0,84.0,184.0,0,Thriller,138465670.29133856
Toy Story,21.946943,81.0,8.3,1995.0,10.0,166.0,487.0,15000.0,1000.0,802.0,391.0,0,Animation,61087796.275590524
Krampus,15.553313,98.0,6.2,2015.0,11.0,198.0,66.0,3000.0,658.0,562.0,181.0,27000,Horror,19639478.337068677
Gun Shy,6.370105,101.0,5.6,2000.0,2.0,49.0,3.0,14000.0,1000.0,826.0,91.0,242,Action,18021255.355400726
Sinister 2,17.602928,97.0,5.3,2015.0,8.0,189.0,11.0,1000.0,412.0,220.0,126.0,13000,Horror,13092985.89137912
Zodiac,19.083823,157.0,7.7,2007.0,3.0,377.0,21000.0,21000.0,15000.0,495.0,589.0,12000,Crime,97284632.18905006
Up in the Air,8.338562,109.0,7.4,2009.0,9.0,391.0,655.0,24000.0,10000.0,940.0,452.0,19000,Drama,36162294.68360703
After Earth,10.747642,100.0,4.8,2013.0,5.0,349.0,0.0,10000.0,943.0,894.0,744.0,37000,Science Fiction,173175222.17815715
Renaissance,9.746725,105.0,6.6,2006.0,3.0,112.0,2.0,805.0,306.0,69.0,90.0,0,Action,27707679.5714286
Pixels,21.14796,105.0,5.6,2015.0,7.0,253.0,0.0,22000.0,11000.0,1000.0,342.0,39000,Action,115218268.04413708
High Crimes,8.371005,115.0,6.4,2002.0,4.0,114.0,73.0,11000.0,3000.0,505.0,175.0,893,Drama,75689269.29268296
One Day,11.239012,107.0,7.0,2011.0,3.0,221.0,92.0,11000.0,5000.0,358.0,181.0,49000,Drama,20694011.37614644
Free Style,0.739681,94.0,3.9,2008.0,12.0,16.0,50.0,835.0,632.0,422.0,4.0,58,Drama,23061528.24300176
Latter Days,3.334942,107.0,7.0,2003.0,7.0,35.0,6.0,23000.0,813.0,522.0,252.0,0,Drama,1350626.192012288
The Awakening,9.336568,107.0,6.5,2011.0,8.0,195.0,58.0,874.0,579.0,537.0,112.0,10000,Horror,6619649.325145942
A Better Life,3.033797,98.0,7.2,2011.0,6.0,94.0,129.0,749.0,252.0,221.0,81.0,0,Drama,13796007.917430973
Daybreakers,10.038613,98.0,6.4,2009.0,1.0,292.0,35.0,125.0,37.0,16.0,281.0,0,Fantasy,28929835.94688567
The Haunted Mansion,11.605735,87.0,5.2,2003.0,11.0,122.0,50.0,691.0,569.0,441.0,179.0,988,Thriller,143007374.2718895
How to Train Your Dragon 2,12.256689,102.0,7.8,2014.0,6.0,292.0,255.0,18000.0,3000.0,953.0,343.0,46000,Fantasy,190073627.31792405
Beerfest,7.481125,110.0,6.2,2006.0,8.0,91.0,422.0,33000.0,459.0,422.0,177.0,0,Comedy,26938021.833333362
Bottle Rocket,6.904831,91.0,6.9,1996.0,2.0,83.0,0.0,387.0,96.0,65.0,184.0,0,Comedy,14253819.897637784
The Legend of Zorro,8.940007,129.0,6.0,2005.0,10.0,137.0,258.0,2000.0,277.0,163.0,244.0,951,Action,119172812.0599079
The Frozen Ground,12.388833,105.0,6.4,2013.0,7.0,120.0,17.0,12000.0,991.0,897.0,133.0,11000,Thriller,36260228.08053418
Stone,11.275132,105.0,5.4,2010.0,10.0,138.0,43.0,22000.0,14000.0,827.0,135.0,0,Drama,31309261.006603807
The Boondock Saints,12.457908,108.0,7.6,1999.0,1.0,100.0,78.0,12000.0,333.0,184.0,876.0,16000,Action,10812753.613240417
The Place Beyond the Pines,7.492658,140.0,7.3,2013.0,3.0,417.0,310.0,33000.0,748.0,619.0,376.0,47000,Drama,19981757.289787408
The Big Short,13.143061,130.0,7.8,2015.0,12.0,426.0,285.0,33000.0,23000.0,767.0,374.0,99000,Comedy,36660358.69586154
Waitress,11.276024,108.0,7.0,2007.0,5.0,173.0,191.0,597.0,541.0,336.0,204.0,0,Comedy,2993374.2673553852
Chill Factor,3.062626,101.0,5.2,1999.0,9.0,68.0,3.0,372.0,248.0,239.0,94.0,120,Action,126148781.48780474
Crocodile Dundee II,8.948565,110.0,5.7,1988.0,5.0,32.0,5.0,442.0,162.0,57.0,62.0,489,Adventure,37989411.86457537
Made of Honor,6.417385,101.0,5.8,2008.0,5.0,128.0,10.0,1000.0,689.0,681.0,101.0,3000,Comedy,57653819.107504226
Conversations with Other Women,2.333661,84.0,6.9,2006.0,6.0,365.0,3.0,10000.0,651.0,446.0,54.0,0,Drama,692692.9642857137
Lost in Translation,11.609441,102.0,7.7,2003.0,8.0,265.0,0.0,19000.0,13000.0,11.0,1848.0,17000,Drama,6355884.256528426
Kick-Ass,17.26045,117.0,7.6,2010.0,3.0,447.0,905.0,553.0,488.0,385.0,801.0,36000,Action,39848150.099314
My Life in Ruins,7.19669,95.0,5.9,2009.0,2.0,112.0,80.0,567.0,503.0,399.0,75.0,0,Comedy,24590360.70485276
The Man,11.127884,83.0,5.5,2005.0,9.0,72.0,10.0,688.0,99.0,69.0,76.0,676,Action,25423534.02611369
Argo,14.238234,120.0,7.7,2012.0,10.0,656.0,0.0,1000.0,660.0,650.0,695.0,89000,Drama,60147509.21014491
Arachnophobia,5.418428,103.0,6.5,1990.0,8.0,74.0,155.0,687.0,151.0,125.0,136.0,0,Comedy,73604484.55011483
The Lost Weekend,8.731331,101.0,7.9,2045.0,11.0,97.0,0.0,287.0,160.0,66.0,136.0,0,Drama,1250000.999999999
Four Brothers,6.84109,109.0,6.8,2005.0,8.0,123.0,309.0,1000.0,654.0,482.0,340.0,0,Action,71503687.63594463
Quarantine,6.140116,89.0,6.0,2008.0,10.0,198.0,66.0,137000.0,1000.0,1000.0,369.0,0,Horror,17296146.432251293
Not Another Teen Movie,9.101896,89.0,5.8,2001.0,12.0,97.0,11.0,11000.0,983.0,971.0,393.0,0,Comedy,28834007.968641106
X-Men Origins: Wolverine,1.456541,107.0,6.5,2009.0,4.0,350.0,151.0,20000.0,16000.0,2000.0,641.0,0,Adventure,216973763.10164183
